200.0,13.0,300.0,9.0e+11,5e+23,0.008103508841662334,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,300.0,9.0e+11,5e+24,0.010160082041007008,983333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,400.0,9.0e+11,1e+24,0.009629410118720181,2100000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,400.0,9.0e+11,1e+25,0.012428844032042462,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,400.0,9.0e+11,5e+23,0.009863602541121948,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,400.0,9.0e+11,5e+24,0.01223227384244529,2316666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,500.0,9.0e+11,1e+24,0.013032633221796444,6383333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,500.0,9.0e+11,1e+25,0.016007144936147178,2433333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,500.0,9.0e+11,5e+23,0.012502080686206464,2083333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,13.0,500.0,9.0e+11,5e+24,0.014976735300026,9283333333333.332
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,300.0,9.0e+11,1e+24,0.007898982877975726,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,300.0,9.0e+11,1e+25,0.011307214019617526,2350000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,300.0,9.0e+11,5e+23,0.009374351311001011,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,300.0,9.0e+11,5e+24,0.01004954931375656,1133333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,400.0,9.0e+11,1e+24,0.009748809105094309,2116666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,400.0,9.0e+11,1e+25,0.012704395762353311,3916666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,400.0,9.0e+11,5e+23,0.007787451603754418,2066666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,400.0,9.0e+11,5e+24,0.011325372207151444,1150000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,500.0,9.0e+11,1e+24,0.010863400682468776,2133333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,500.0,9.0e+11,1e+25,0.015376660497246925,2416666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,500.0,9.0e+11,5e+23,0.011510431640886389,1800000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,14.0,500.0,9.0e+11,5e+24,0.013072400370370812,4650000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,300.0,9.0e+11,1e+24,0.008348151672634217,2116666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,300.0,9.0e+11,1e+25,0.010414873857149225,2416666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,300.0,9.0e+11,5e+23,0.007506889803975023,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,300.0,9.0e+11,5e+24,0.01129443592181972,2283333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,400.0,9.0e+11,1e+24,0.009499693534262688,2133333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,400.0,9.0e+11,1e+25,0.011941607833412396,150000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,400.0,9.0e+11,5e+23,0.009342909624493585,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,400.0,9.0e+11,5e+24,0.015076171279985675,4616666666666.666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,500.0,9.0e+11,1e+24,0.010416504265358053,2133333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,500.0,9.0e+11,1e+25,0.014033435512204161,2416666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,500.0,9.0e+11,5e+23,0.012268734283879468,2100000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,15.0,500.0,9.0e+11,5e+24,0.013907875407160321,2333333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,300.0,9.0e+11,1e+24,0.007986537188250422,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,16.0,300.0,9.0e+11,1e+25,0.009417655922434263,2416666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
