Wo,Vds,Temp,Nd,Mod index
0.0,0.0,0.0,0.05263157894736841,0.0030339597952157562
0.0,0.0,0.0,1.0,0.005255606433659243
0.0,0.0,0.0,0.0,0.0023504212359017717
0.0,0.0,0.0,0.4736842105263157,0.004616425878181246
0.0,0.0,0.5,0.05263157894736841,0.003181461957518332
0.0,0.0,0.5,1.0,0.006984445012155073
0.0,0.0,0.5,0.0,0.004174954469880802
0.0,0.0,0.5,0.4736842105263157,0.005421120671363439
0.0,0.0,1.0,0.05263157894736841,0.005863628267178784
0.0,0.0,1.0,1.0,0.007514456707052859
0.0,0.0,1.0,0.0,0.006971621243641295
0.0,0.0,1.0,0.4736842105263157,0.007447885548351607
0.0,0.02,0.0,0.05263157894736841,0.0028690674214557005
0.0,0.02,0.0,1.0,0.0043219337435849
0.0,0.02,0.0,0.0,0.002945447327475084
0.0,0.02,0.0,0.4736842105263157,0.004280808206969839
0.0,0.02,0.5,0.05263157894736841,0.0033810983887400652
0.0,0.02,0.5,1.0,0.005827778383237815
0.0,0.02,0.5,0.0,0.0032693660332670286
0.0,0.02,0.5,0.4736842105263157,0.005899640907547457
0.0,0.02,1.0,0.05263157894736841,0.0049533109831585076
0.0,0.02,1.0,1.0,0.007652869663877307
0.0,0.02,1.0,0.0,0.0047167561699198906
0.0,0.02,1.0,0.4736842105263157,0.008855265749547985
0.0,0.04,0.0,0.05263157894736841,0.0027163057834018447
0.0,0.04,0.0,1.0,0.004474571163294657
0.0,0.04,0.0,0.0,0.0026500130875533466
0.0,0.04,0.0,0.4736842105263157,0.004618028545437298
0.0,0.04,0.5,0.05263157894736841,0.003200515029579862
0.0,0.04,0.5,1.0,0.005507233845408157
0.0,0.04,0.5,0.0,0.0025493337127649026
0.0,0.04,0.5,0.4736842105263157,0.003926849641918599
0.0,0.04,1.0,0.05263157894736841,0.004365998129964535
0.0,0.04,1.0,1.0,0.0064440162258320565
0.0,0.04,1.0,0.0,0.005163082174692801
0.0,0.04,1.0,0.4736842105263157,0.0057211058079897235
0.0,0.06,0.0,0.05263157894736841,0.001846084623090738
0.0,0.06,0.0,1.0,0.004571147673483248
0.0,0.06,0.0,0.0,0.0017153698475558263
0.0,0.06,0.0,0.4736842105263157,0.0028968162052852107
0.0,0.06,0.5,0.05263157894736841,0.002591959363848746
0.0,0.06,0.5,1.0,0.004200159354810702
0.0,0.06,0.5,0.0,0.00272649665361922
0.0,0.06,0.5,0.4736842105263157,0.004087235032636425
0.0,0.06,1.0,0.05263157894736841,0.004547020112939097
0.0,0.06,1.0,1.0,0.0062557976230529
0.0,0.06,1.0,0.0,0.004242231855970356
0.0,0.06,1.0,0.4736842105263157,0.005663854816469391
0.0,0.08,0.0,0.05263157894736841,0.0015978751457209391
0.0,0.08,0.0,1.0,0.003555812879167821
0.0,0.08,0.0,0.0,0.002445434893198955
0.0,0.08,0.0,0.4736842105263157,0.0028333181065734263
0.0,0.08,0.5,0.05263157894736841,0.0026605508915479924
0.0,0.08,0.5,1.0,0.004358456461981784
0.0,0.08,0.5,0.0,0.0015338034084525266
0.0,0.08,0.5,0.4736842105263157,0.0035662442727752695
0.0,0.08,1.0,0.05263157894736841,0.0033008539742996417
0.0,0.08,1.0,1.0,0.005893601157504754
0.0,0.08,1.0,0.0,0.0036725559732385575
0.0,0.08,1.0,0.4736842105263157,0.004569865277339507
0.0,0.1,0.0,0.05263157894736841,0.001855910617847131
0.0,0.1,0.0,1.0,0.0030431872964072643
0.0,0.1,0.0,0.0,0.001372628150225399
0.0,0.1,0.0,0.4736842105263157,0.0035484722033743555
0.0,0.1,0.5,0.05263157894736841,0.002517440651705049
0.0,0.1,0.5,1.0,0.003920255176146473
0.0,0.1,0.5,0.0,0.002427372484325305
0.0,0.1,0.5,0.4736842105263157,0.00572097813033342
0.0,0.1,1.0,0.05263157894736841,0.0030441239223637398
0.0,0.1,1.0,1.0,0.005121954290427239
0.0,0.1,1.0,0.0,0.004108180582129808
0.0,0.1,1.0,0.4736842105263157,0.0050498233646584
0.0,0.12,0.0,0.05263157894736841,0.00164817275779257
0.0,0.12,0.0,1.0,0.0024703122355016474
0.0,0.12,0.0,0.0,0.002044554447716963
0.0,0.12,0.0,0.4736842105263157,0.0020769729865665926
0.0,0.12,0.5,0.05263157894736841,0.0021680238565565963
0.0,0.12,0.5,1.0,0.004563617264486156
0.0,0.12,0.5,0.0,0.001665694000627492
0.0,0.12,0.5,0.4736842105263157,0.002334715473264986
0.0,0.12,1.0,0.05263157894736841,0.0027228971201348454
0.0,0.12,1.0,1.0,0.004634038166984775
0.0,0.12,1.0,0.0,0.003630400387403251
0.0,0.12,1.0,0.4736842105263157,0.005109149509477889
0.0,0.14,0.0,0.05263157894736841,0.0007166691205991284
0.0,0.14,0.0,1.0,0.002676899117838986
0.0,0.14,0.0,0.0,0.0013560205179790296
0.0,0.14,0.0,0.4736842105263157,0.0022529779042443705
0.0,0.14,0.5,0.05263157894736841,0.0020105660171120202
0.0,0.14,0.5,1.0,0.0030617564882677874
0.0,0.14,0.5,0.0,0.0016478187829577693
0.0,0.14,0.5,0.4736842105263157,0.0032642417297497547
0.0,0.14,1.0,0.05263157894736841,0.002648399896748944
0.0,0.14,1.0,1.0,0.004439529868611105
0.0,0.14,1.0,0.0,0.002431873630721334
0.0,0.14,1.0,0.4736842105263157,0.003327193266916424
0.0,0.16,0.0,0.05263157894736841,0.0013767919053620705
0.0,0.16,0.0,1.0,0.0026983343168812957
0.0,0.16,0.0,0.0,0.00048563433296704454
0.0,0.16,0.0,0.4736842105263157,0.00359185918854368
0.0,0.16,0.5,0.05263157894736841,0.0016548896893821647
0.0,0.16,0.5,1.0,0.0036676434190312545
0.0,0.16,0.5,0.0,0.0019732784247286756
0.0,0.16,0.5,0.4736842105263157,0.0028172735145693033
0.0,0.16,1.0,0.05263157894736841,0.0023265282734788767
0.0,0.16,1.0,1.0,0.0036381736815870366
0.0,0.16,1.0,0.0,0.0024963519208283233
0.0,0.16,1.0,0.4736842105263157,0.004010009902442988
0.0,0.18,0.0,0.05263157894736841,0.0006600265017047027
0.0,0.18,0.0,1.0,0.003581580452908176
0.0,0.18,0.0,0.0,0.0008904416684723516
0.0,0.18,0.0,0.4736842105263157,0.0021190003046433667
0.0,0.18,0.5,0.05263157894736841,0.0014867101943259883
0.0,0.18,0.5,1.0,0.00270480480200603
0.0,0.18,0.5,0.0,0.0016265231321724689
0.0,0.18,0.5,0.4736842105263157,0.0017276532914851017
0.0,0.18,1.0,0.05263157894736841,0.0020581574455642787
0.0,0.18,1.0,1.0,0.00424926039311516
0.0,0.18,1.0,0.0,0.002738193378597014
0.0,0.18,1.0,0.4736842105263157,0.0038533771486848234
0.0,0.2,0.0,0.05263157894736841,0.0010220482163469152
0.0,0.2,0.0,1.0,0.003142004017570829
0.0,0.2,0.0,0.0,0.0009121479760551194
0.0,0.2,0.0,0.4736842105263157,0.0012814514519818524
0.0,0.2,0.5,0.05263157894736841,0.0018113317680949939
0.0,0.2,0.5,1.0,0.0030647688944511115
0.0,0.2,0.5,0.0,0.0015265444875712444
0.0,0.2,0.5,0.4736842105263157,0.0028920224437669183
0.0,0.2,1.0,0.05263157894736841,0.002916370630309139
0.0,0.2,1.0,1.0,0.003285574768251248
0.0,0.2,1.0,0.0,0.0018325048914318947
0.0,0.2,1.0,0.4736842105263157,0.0032038162321092276
0.0,0.22,0.0,0.05263157894736841,0.0013524273029224725
0.0,0.22,0.0,1.0,0.002531835064393163
0.0,0.22,0.0,0.0,0.0007314144380112389
0.0,0.22,0.0,0.4736842105263157,0.0018239323441845724
0.0,0.22,0.5,0.05263157894736841,0.0011316753893275007
0.0,0.22,0.5,1.0,0.002173490145212126
0.0,0.22,0.5,0.0,0.0008846851650884314
0.0,0.22,0.5,0.4736842105263157,0.0024424142496977416
0.0,0.22,1.0,0.05263157894736841,0.0017100038230836651
0.0,0.22,1.0,1.0,0.0035620569357502265
0.0,0.22,1.0,0.0,0.0013221965852043772
0.0,0.22,1.0,0.4736842105263157,0.0018005857863797054
0.0,0.24,0.0,0.05263157894736841,0.0011728896967151301
0.0,0.24,0.0,1.0,0.0029003714600306465
0.0,0.24,0.0,0.0,0.0006688557823185503
0.0,0.24,0.0,0.4736842105263157,0.0021654784251159396
0.0,0.24,0.5,0.05263157894736841,0.0020864059261346607
0.0,0.24,0.5,1.0,0.002131548071357527
0.0,0.24,0.5,0.0,0.0013535751665367023
0.0,0.24,0.5,0.4736842105263157,0.0025078610470156927
0.0,0.24,1.0,0.05263157894736841,0.0021956036092112934
0.0,0.24,1.0,1.0,0.0038842221764764174
0.0,0.24,1.0,0.0,0.002355615585219441
0.0,0.24,1.0,0.4736842105263157,0.0034650114063229567
0.0,0.26,0.0,0.05263157894736841,0.0007185876502555772
0.0,0.26,0.0,1.0,0.002276996139065744
0.0,0.26,0.0,0.0,0.0005985036795293533
0.0,0.26,0.0,0.4736842105263157,0.001641808358015522
0.0,0.26,0.5,0.05263157894736841,0.0015229754161032716
0.0,0.26,0.5,1.0,0.0019151746986084172
0.0,0.26,0.5,0.0,0.0009873500589204266
0.0,0.26,0.5,0.4736842105263157,0.0023958261065350306
0.0,0.26,1.0,0.05263157894736841,0.001825862855906435
0.0,0.26,1.0,1.0,0.0029430109740813215
0.0,0.26,1.0,0.0,0.0017701033810436958
0.0,0.26,1.0,0.4736842105263157,0.003140965931353826
0.0,0.28,0.0,0.05263157894736841,0.0003160478787626109
0.0,0.28,0.0,1.0,0.0019178992161586984
0.0,0.28,0.0,0.0,0.001022957784910714
0.0,0.28,0.0,0.4736842105263157,0.0020004976510112718
0.0,0.28,0.5,0.05263157894736841,0.0017549654981808148
0.0,0.28,0.5,1.0,0.0026815328575820474
0.0,0.28,0.5,0.0,0.001566969527530919
0.0,0.28,0.5,0.4736842105263157,0.0023827450507038135
0.0,0.28,1.0,0.05263157894736841,0.0012673934481076728
0.0,0.28,1.0,1.0,0.0019713987242139254
0.0,0.28,1.0,0.0,0.0015364899224605618
0.0,0.28,1.0,0.4736842105263157,0.002702004746854606
0.0,0.3,0.0,0.05263157894736841,0.0007419457592384952
0.0,0.3,0.0,1.0,0.0028137880040048783
0.0,0.3,0.0,0.0,0.0007263958173264333
0.0,0.3,0.0,0.4736842105263157,0.0016598146855923818
0.0,0.3,0.5,0.05263157894736841,0.0009773132169114285
0.0,0.3,0.5,1.0,0.0019894210003774137
0.0,0.3,0.5,0.0,0.0012429252761284705
0.0,0.3,0.5,0.4736842105263157,0.0020675745970507396
0.0,0.3,1.0,0.05263157894736841,0.0013336560706674562
0.0,0.3,1.0,1.0,0.003069842512671224
0.0,0.3,1.0,0.0,0.002059212009004774
0.0,0.3,1.0,0.4736842105263157,0.0022759251889916555
0.0,0.32,0.0,0.05263157894736841,0.0010140152691914801
0.0,0.32,0.0,1.0,0.0030575305162297
0.0,0.32,0.0,0.0,0.0009363427176431852
0.0,0.32,0.0,0.4736842105263157,0.0011701707375684192
