Real Training Data,Predicted Training Data,Difference
0.0363389974053847,0.08801875,-0.051679755229140596
0.0068251003180084,0.034182005,-0.027356904312557245
0.0039961550955959,-0.0277851,0.03178125513841588
0.0056645679619538,0.015939943,-0.010275375530458767
0.093376918913377,0.09608365,-0.0027067295894496884
0.0487101857398186,0.07326227,-0.02455208107489011
0.0121328270895311,0.029497795,-0.017364967717426145
0.0464392029142818,0.07594738,-0.029508178641752286
0.0054359816428255,0.0141422525,-0.008706270862000091
0.0039402858920171,7.517636e-06,0.003932768256194804
0.005011940505247,0.029292174,-0.02428023317839634
0.0069867305804339,0.07702536,-0.07003863077868551
0.0024809867252128,-0.009143807,0.011624793719174135
0.0030302432494292,-0.0033814982,0.0064117414074072576
0.007092756870139,-0.014527656,0.02162041300808227
0.8411405647201743,0.52734464,0.31379592065050266
0.0834544892143328,0.09395283,-0.010498337941257263
0.0025078553225176,0.00046723336,0.00204062196270391
0.0364515873966779,0.06433188,-0.02788029430526836
0.0024313875384785,0.023087047,-0.020655659501983992
0.0035795404220532,0.0072822645,-0.003702724108605522
0.0199736274555351,0.06929206,-0.04931843357532961
0.0082422887509354,0.019204058,-0.01096176900215069
0.0018685879811197,0.00034149736,0.0015270906194596963
0.0169282020259343,0.028314076,-0.011385874338106075
0.1524126598517803,0.12717378,0.025238878456821795
0.0083852502160429,0.048829697,-0.04044444685646305
0.0168909172742279,0.030942388,-0.014051470604666907
0.0040489014852748,-0.008275427,0.012324328409503468
0.0014600877459082,0.010754742,-0.009294653982397616
0.2448742386188724,0.18765813,0.05721610749628328
0.0357382637380111,0.041779377,-0.006041112828398962
0.0049533519232117,-0.008053072,0.013006423720105773
0.1430979462002942,0.031253718,0.11184422836057634
0.0113305972341545,-0.00117632,0.012506917250538624
0.00541036908131,0.032942586,-0.027532216565796172
0.0059428784616693,0.05685454,-0.05091166015784898
0.0150812715162881,0.009550653,0.0055306181182511426
0.1284935790754347,0.10029899,0.028194585785964038
0.9190741425254276,0.7875461,0.13152804429315834
