Wo,Vds,Temp,Nd,Mod index
200,16,400,1e+25,0.022737573
200,16,500,5e+23,0.020480419
200,16,500,1e+24,0.019836722
200,16,500,5e+24,0.023237847
200,16,500,1e+25,0.024113093
200,17,300,5e+23,0.012405806
200,17,300,1e+24,0.013021835
200,17,300,5e+24,0.016858939
200,17,300,1e+25,0.01856988
200,17,400,5e+23,0.014448047
200,17,400,1e+24,0.015979313
200,17,400,5e+24,0.017347585
200,17,400,1e+25,0.018968075
200,17,500,5e+23,0.019407905
200,17,500,1e+24,0.019966367
200,17,500,5e+24,0.022036768
200,17,500,1e+25,0.025598733
200,18,300,5e+23,0.012119603
200,18,300,1e+24,0.014158995
200,18,300,5e+24,0.018621969
200,18,300,1e+25,0.018254368
200,18,400,5e+23,0.016983372
200,18,400,1e+24,0.015174739
200,18,400,5e+24,0.01629363
200,18,400,1e+25,0.019689721
200,18,500,5e+23,0.017186506
200,18,500,1e+24,0.017533129
200,18,500,5e+24,0.019839209
200,18,500,1e+25,0.019933782
200,19,300,5e+23,0.014040191
200,19,300,1e+24,0.015736096
200,19,300,5e+24,0.015901189
200,19,300,1e+25,0.021685259
200,19,400,5e+23,0.014719678
200,19,400,1e+24,0.01564967
200,19,400,5e+24,0.019889398
200,19,400,1e+25,0.017826979
200,19,500,5e+23,0.017561799
200,19,500,1e+24,0.01689953
200,19,500,5e+24,0.022239408
200,19,500,1e+25,0.02187193
200,20,300,5e+23,0.014815025
200,20,300,1e+24,0.015438994
200,20,300,5e+24,0.015019319
200,20,300,1e+25,0.018146214
200,20,400,5e+23,0.015535132
200,20,400,1e+24,0.014838808
200,20,400,5e+24,0.017752806
200,20,400,1e+25,0.019985942
200,20,500,5e+23,0.019187256
200,20,500,1e+24,0.019700322
200,20,500,5e+24,0.020340225
200,20,500,1e+25,0.020029918
200,21,300,5e+23,0.013015293
200,21,300,1e+24,0.013112525
200,21,300,5e+24,0.015730387
200,21,300,1e+25,0.016714243
200,21,400,5e+23,0.014593689
200,21,400,1e+24,0.01398032
200,21,400,5e+24,0.017576482
200,21,400,1e+25,0.020328901
200,21,500,5e+23,0.016505235
200,21,500,1e+24,0.016202156
200,21,500,5e+24,0.019658869
200,21,500,1e+25,0.021205449
200,22,300,5e+23,0.011587717
200,22,300,1e+24,0.013133301
200,22,300,5e+24,0.015185505
200,22,300,1e+25,0.01868019
200,22,400,5e+23,0.015062194
200,22,400,1e+24,0.017622428
200,22,400,5e+24,0.019698528
200,22,400,1e+25,0.017624471
200,22,500,5e+23,0.017675305
200,22,500,1e+24,0.017455427
200,22,500,5e+24,0.019259097
200,22,500,1e+25,0.019527938
200,23,300,5e+23,0.013418386
200,23,300,1e+24,0.012994712
200,23,300,5e+24,0.015523646
200,23,300,1e+25,0.016089718
200,23,400,5e+23,0.01733112
200,23,400,1e+24,0.015089143
200,23,400,5e+24,0.016755552
200,23,400,1e+25,0.017359965
200,23,500,5e+23,0.015923516
200,23,500,1e+24,0.015388496
200,23,500,5e+24,0.019816974
200,23,500,1e+25,0.018786451
200,24,300,5e+23,0.013869753
200,24,300,1e+24,0.015110158
200,24,300,5e+24,0.014056762
200,24,300,1e+25,0.018045062
200,24,400,5e+23,0.0151151
200,24,400,1e+24,0.013488124
200,24,400,5e+24,0.017593731
200,24,400,1e+25,0.017417884
200,24,500,5e+23,0.013964271
200,24,500,1e+24,0.017944473
200,24,500,5e+24,0.020393142
200,24,500,1e+25,0.016332405
200,25,300,5e+23,0.012564741
200,25,300,1e+24,0.014579512
200,25,300,5e+24,0.014301874
200,25,300,1e+25,0.020103039
200,25,400,5e+23,0.014287976
200,25,400,1e+24,0.013623795
200,25,400,5e+24,0.014938613
200,25,400,1e+25,0.018701481
200,25,500,5e+23,0.015448858
200,25,500,1e+24,0.01415775
200,25,500,5e+24,0.018098849
200,25,500,1e+25,0.020537738
200,26,300,5e+23,0.012100402
200,26,300,1e+24,0.013352074
200,26,300,5e+24,0.014827917
200,26,300,1e+25,0.017608811
200,26,400,5e+23,0.013024514
200,26,400,1e+24,0.014425578
200,26,400,5e+24,0.015305127
200,26,400,1e+25,0.018567333
200,26,500,5e+23,0.014693974
200,26,500,1e+24,0.016189561
200,26,500,5e+24,0.01700901
200,26,500,1e+25,0.016072508
200,27,300,5e+23,0.013426498
200,27,300,1e+24,0.012379602
200,27,300,5e+24,0.01604204
200,27,300,1e+25,0.015872005
200,27,400,5e+23,0.013304805
200,27,400,1e+24,0.014130378
200,27,400,5e+24,0.015904645
200,27,400,1e+25,0.014963829
200,27,500,5e+23,0.016094152
200,27,500,1e+24,0.014450721
200,27,500,5e+24,0.016850143
200,27,500,1e+25,0.017285441
200,28,300,5e+23,0.014285264
200,28,300,1e+24,0.014059745
200,28,300,5e+24,0.015376318
200,28,300,1e+25,0.01782788
200,28,400,5e+23,0.015548295
200,28,400,1e+24,0.014586411
200,28,400,5e+24,0.015844151
200,28,400,1e+25,0.017470563
200,28,500,5e+23,0.015279979
200,28,500,1e+24,0.014193916
200,28,500,5e+24,0.017502207
200,28,500,1e+25,0.017174618
200,29,300,5e+23,0.013576301
200,29,300,1e+24,0.013535572
200,29,300,5e+24,0.013940678
200,29,300,1e+25,0.017435797
200,29,400,5e+23,0.015390887
200,29,400,1e+24,0.015461025
200,29,400,5e+24,0.016335378
200,29,400,1e+25,0.01629464
200,29,500,5e+23,0.016847684
200,29,500,1e+24,0.015990777
200,29,500,5e+24,0.014686325
200,29,500,1e+25,0.015520127
200,30,300,5e+23,0.014543663
200,30,300,1e+24,0.012041425
200,30,300,5e+24,0.01429367
200,30,300,1e+25,0.018462998
200,30,400,5e+23,0.014305634
200,30,400,1e+24,0.014444201
200,30,400,5e+24,0.014913292
200,30,400,1e+25,0.01796114
200,30,500,5e+23,0.014692729
200,30,500,1e+24,0.015247306
200,30,500,5e+24,0.016701951
200,30,500,1e+25,0.018244165
200,31,300,5e+23,0.01429071
200,31,300,1e+24,0.014583545
200,31,300,5e+24,0.014029128
200,31,300,1e+25,0.018218173
200,31,400,5e+23,0.014055568
200,31,400,1e+24,0.014717027
200,31,400,5e+24,0.016665166
200,31,400,1e+25,0.016198113
200,31,500,5e+23,0.015300745
