Wo,Vds,Temp,Intervalley,Nd,Mod index
200.0,20.0,400.0,9.0e+11,1e+25,0.010452441484190162
200.0,20.0,400.0,9.0e+11,5e+23,0.007774815818775364
200.0,20.0,400.0,9.0e+11,5e+24,0.010151737420535635
200.0,20.0,500.0,9.0e+11,1e+24,0.010194120917312983
200.0,20.0,500.0,9.0e+11,1e+25,0.0108368037866716
200.0,20.0,500.0,9.0e+11,5e+23,0.00830740873975219
200.0,20.0,500.0,9.0e+11,5e+24,0.010694484659656486
200.0,21.0,300.0,9.0e+11,1e+24,0.007471725684253973
200.0,21.0,300.0,9.0e+11,1e+25,0.009524750248146457
200.0,21.0,300.0,9.0e+11,5e+23,0.0063907130711385865
200.0,21.0,300.0,9.0e+11,5e+24,0.008292486292530028
200.0,21.0,400.0,9.0e+11,1e+24,0.007087457311650091
200.0,21.0,400.0,9.0e+11,1e+25,0.008900970292257913
200.0,21.0,400.0,9.0e+11,5e+23,0.006657515256010303
200.0,21.0,400.0,9.0e+11,5e+24,0.009369093201372327
200.0,21.0,500.0,9.0e+11,1e+24,0.008094168068766268
200.0,21.0,500.0,9.0e+11,1e+25,0.011318083204950077
200.0,21.0,500.0,9.0e+11,5e+23,0.0074191023184538366
200.0,21.0,500.0,9.0e+11,5e+24,0.008251846355926688
200.0,22.0,300.0,9.0e+11,1e+24,0.007159200086468749
200.0,22.0,300.0,9.0e+11,1e+25,0.010166270761788547
200.0,22.0,300.0,9.0e+11,5e+23,0.006281815655828168
200.0,22.0,300.0,9.0e+11,5e+24,0.00888702409087292
200.0,22.0,400.0,9.0e+11,1e+24,0.008749380615867778
200.0,22.0,400.0,9.0e+11,1e+25,0.008827960676163267
200.0,22.0,400.0,9.0e+11,5e+23,0.007473723799132446
200.0,22.0,400.0,9.0e+11,5e+24,0.009483018076984736
200.0,22.0,500.0,9.0e+11,1e+24,0.00893946375165863
200.0,22.0,500.0,9.0e+11,1e+25,0.011878884290418905
200.0,22.0,500.0,9.0e+11,5e+23,0.00921800059700899
200.0,22.0,500.0,9.0e+11,5e+24,0.011149153626699949
200.0,23.0,300.0,9.0e+11,1e+24,0.006368385161149786
200.0,23.0,300.0,9.0e+11,1e+25,0.009081145762382578
200.0,23.0,300.0,9.0e+11,5e+23,0.00615935199239798
200.0,23.0,300.0,9.0e+11,5e+24,0.007975458518511657
200.0,23.0,400.0,9.0e+11,1e+24,0.007768603046879685
200.0,23.0,400.0,9.0e+11,1e+25,0.008451314139029808
200.0,23.0,400.0,9.0e+11,5e+23,0.006836226602308122
200.0,23.0,400.0,9.0e+11,5e+24,0.00928799605632735
200.0,23.0,500.0,9.0e+11,1e+24,0.008295846782527965
200.0,23.0,500.0,9.0e+11,1e+25,0.010240494429461603
200.0,23.0,500.0,9.0e+11,5e+23,0.008198784871200331
200.0,23.0,500.0,9.0e+11,5e+24,0.010585079570497157
200.0,24.0,300.0,9.0e+11,1e+24,0.005667674121408771
200.0,24.0,300.0,9.0e+11,1e+25,0.008456056774815583
200.0,24.0,300.0,9.0e+11,5e+23,0.006898209860779528
200.0,24.0,300.0,9.0e+11,5e+24,0.008599837934505323
200.0,24.0,400.0,9.0e+11,1e+24,0.008172433980203906
200.0,24.0,400.0,9.0e+11,1e+25,0.00978533293771095
200.0,24.0,400.0,9.0e+11,5e+23,0.007845184696058329
200.0,24.0,400.0,9.0e+11,5e+24,0.009265225535545225
200.0,24.0,500.0,9.0e+11,1e+24,0.007323705128174506
200.0,24.0,500.0,9.0e+11,1e+25,0.0085491847054445
200.0,24.0,500.0,9.0e+11,5e+23,0.0077921280858244775
200.0,24.0,500.0,9.0e+11,5e+24,0.009820968866961911
200.0,25.0,300.0,9.0e+11,1e+24,0.006409045205177477
200.0,25.0,300.0,9.0e+11,1e+25,0.010015552776156563
200.0,25.0,300.0,9.0e+11,5e+23,0.006381977032696721
200.0,25.0,300.0,9.0e+11,5e+24,0.008006802582904395
200.0,25.0,400.0,9.0e+11,1e+24,0.006818755220601517
200.0,25.0,400.0,9.0e+11,1e+25,0.008580556531940595
200.0,25.0,400.0,9.0e+11,5e+23,0.007281112769748694
200.0,25.0,400.0,9.0e+11,5e+24,0.008716600450734852
200.0,25.0,500.0,9.0e+11,1e+24,0.0074390501311729145
200.0,25.0,500.0,9.0e+11,1e+25,0.010461273258216077
200.0,25.0,500.0,9.0e+11,5e+23,0.008702043484741429
200.0,25.0,500.0,9.0e+11,5e+24,0.00907928153282549
200.0,26.0,300.0,9.0e+11,1e+24,0.006882643400192829
200.0,26.0,300.0,9.0e+11,1e+25,0.010439841458332441
200.0,26.0,300.0,9.0e+11,5e+23,0.006747436848669077
200.0,26.0,300.0,9.0e+11,5e+24,0.007154467126335062
200.0,26.0,400.0,9.0e+11,1e+24,0.0073983781620805605
200.0,26.0,400.0,9.0e+11,1e+25,0.00849703269381213
200.0,26.0,400.0,9.0e+11,5e+23,0.007500478030832106
200.0,26.0,400.0,9.0e+11,5e+24,0.008099834599566895
200.0,26.0,500.0,9.0e+11,1e+24,0.00826776129351181
200.0,26.0,500.0,9.0e+11,1e+25,0.01004478877761727
200.0,26.0,500.0,9.0e+11,5e+23,0.0071400109338743524
200.0,26.0,500.0,9.0e+11,5e+24,0.007825787726405726
200.0,27.0,300.0,9.0e+11,1e+24,0.00706535038238133
200.0,27.0,300.0,9.0e+11,1e+25,0.007986568450069995
200.0,27.0,300.0,9.0e+11,5e+23,0.006422061412626242
200.0,27.0,300.0,9.0e+11,5e+24,0.00752510543787002
200.0,27.0,400.0,9.0e+11,1e+24,0.007711584801531754
200.0,27.0,400.0,9.0e+11,1e+25,0.007986612427523231
200.0,27.0,400.0,9.0e+11,5e+23,0.006342431153917447
200.0,27.0,400.0,9.0e+11,5e+24,0.00789177594615619
200.0,27.0,500.0,9.0e+11,1e+24,0.006999381699493021
200.0,27.0,500.0,9.0e+11,1e+25,0.00833470984113855
200.0,27.0,500.0,9.0e+11,5e+23,0.007495693778331291
200.0,27.0,500.0,9.0e+11,5e+24,0.009267788918028026
200.0,28.0,300.0,9.0e+11,1e+24,0.0062638220534081395
200.0,28.0,300.0,9.0e+11,1e+25,0.00902912183477629
200.0,28.0,300.0,9.0e+11,5e+23,0.007211196281872798
200.0,28.0,300.0,9.0e+11,5e+24,0.008505027553688864
200.0,28.0,400.0,9.0e+11,1e+24,0.008172609423333543
200.0,28.0,400.0,9.0e+11,1e+25,0.009804784782232116
200.0,28.0,400.0,9.0e+11,5e+23,0.008491511658984563
200.0,28.0,400.0,9.0e+11,5e+24,0.009863873434883019
200.0,28.0,500.0,9.0e+11,1e+24,0.007617889285507675
200.0,28.0,500.0,9.0e+11,1e+25,0.009863703041831996
200.0,28.0,500.0,9.0e+11,5e+23,0.0071138042124046915
200.0,28.0,500.0,9.0e+11,5e+24,0.007705154243590222
200.0,29.0,300.0,9.0e+11,1e+24,0.007286181901737198
200.0,29.0,300.0,9.0e+11,1e+25,0.009189034449167577
200.0,29.0,300.0,9.0e+11,5e+23,0.00700811013176638
200.0,29.0,300.0,9.0e+11,5e+24,0.008177534977314018
200.0,29.0,400.0,9.0e+11,1e+24,0.007730221593394091
200.0,29.0,400.0,9.0e+11,1e+25,0.008957163002303415
200.0,29.0,400.0,9.0e+11,5e+23,0.008181311626719931
200.0,29.0,400.0,9.0e+11,5e+24,0.00846277453475028
200.0,29.0,500.0,9.0e+11,1e+24,0.006566441208094216
200.0,29.0,500.0,9.0e+11,1e+25,0.008249783959265686
200.0,29.0,500.0,9.0e+11,5e+23,0.009278083377977111
200.0,29.0,500.0,9.0e+11,5e+24,0.007263616878597175
200.0,30.0,300.0,9.0e+11,1e+24,0.0069469378354662095
200.0,30.0,300.0,9.0e+11,1e+25,0.010396002215345299
200.0,30.0,300.0,9.0e+11,5e+23,0.00791610159621814
200.0,30.0,300.0,9.0e+11,5e+24,0.008377089004739309
200.0,30.0,400.0,9.0e+11,1e+24,0.007500709138164608
200.0,30.0,400.0,9.0e+11,1e+25,0.008772729333503416
200.0,30.0,400.0,9.0e+11,5e+23,0.006789475929685868
200.0,30.0,400.0,9.0e+11,5e+24,0.007482059890686751
200.0,30.0,500.0,9.0e+11,1e+24,0.00741005576150454
200.0,30.0,500.0,9.0e+11,1e+25,0.009429233329857005
200.0,30.0,500.0,9.0e+11,5e+23,0.0075318051540563535
200.0,30.0,500.0,9.0e+11,5e+24,0.00879153244548208
200.0,35.0,300.0,9.0e+11,1e+24,0.00767728715508441
200.0,35.0,300.0,9.0e+11,1e+25,0.0960603640095757
200.0,35.0,300.0,9.0e+11,5e+23,0.008810975432693699
200.0,35.0,300.0,9.0e+11,5e+24,0.0075806247564683205
200.0,35.0,400.0,9.0e+11,1e+24,0.009075905786151164
200.0,35.0,400.0,9.0e+11,1e+25,0.008452302340310563
200.0,35.0,400.0,9.0e+11,5e+23,0.00865401958648871
200.0,35.0,400.0,9.0e+11,5e+24,0.007418768847293136
200.0,35.0,500.0,9.0e+11,1e+24,0.007378674509409733
200.0,35.0,500.0,9.0e+11,1e+25,0.008096923006975783
200.0,35.0,500.0,9.0e+11,5e+23,0.00830317745179842
200.0,35.0,500.0,9.0e+11,5e+24,0.007753067407223957
200.0,40.0,300.0,9.0e+11,1e+24,0.01689322672847635
200.0,40.0,300.0,9.0e+11,1e+25,0.28690647111891027
200.0,40.0,300.0,9.0e+11,5e+23,0.010965005370049173
200.0,40.0,300.0,9.0e+11,5e+24,0.07064733454770417
200.0,40.0,400.0,9.0e+11,1e+24,0.01504467927528588
200.0,40.0,400.0,9.0e+11,1e+25,0.4114276562332774
200.0,40.0,400.0,9.0e+11,5e+23,0.008885465738659922
200.0,40.0,400.0,9.0e+11,5e+24,0.009377686413229915
200.0,40.0,500.0,9.0e+11,1e+24,0.007573378135704432
200.0,40.0,500.0,9.0e+11,1e+25,0.009066922717911138
200.0,40.0,500.0,9.0e+11,5e+23,0.008911141424070394
200.0,40.0,500.0,9.0e+11,5e+24,0.008624587109504155
200.0,45.0,300.0,9.0e+11,1e+24,0.02017934018780656
200.0,45.0,300.0,9.0e+11,1e+25,0.8648899652861383
200.0,45.0,300.0,9.0e+11,5e+23,0.009686779520700677
200.0,45.0,300.0,9.0e+11,5e+24,0.19595926480257456
200.0,45.0,400.0,9.0e+11,1e+24,0.019697375492336043
200.0,45.0,400.0,9.0e+11,1e+25,0.6243619397858988
200.0,45.0,400.0,9.0e+11,5e+23,0.010710738879957628
200.0,45.0,400.0,9.0e+11,5e+24,0.2303093486201958
200.0,45.0,500.0,9.0e+11,1e+24,0.016421905701877085
200.0,45.0,500.0,9.0e+11,1e+25,0.6446229794446734
200.0,45.0,500.0,9.0e+11,5e+23,0.015404575957103851
200.0,45.0,500.0,9.0e+11,5e+24,0.07415361081662297
200.0,50.0,300.0,9.0e+11,1e+24,0.03105155136310511
200.0,50.0,300.0,9.0e+11,1e+25,0.5975984905298515
200.0,50.0,300.0,9.0e+11,5e+23,0.01013155717756281
200.0,50.0,300.0,9.0e+11,5e+24,0.33044725528506774
200.0,50.0,400.0,9.0e+11,1e+24,0.019733646970293426
200.0,50.0,400.0,9.0e+11,1e+25,0.6283554731200982
200.0,50.0,400.0,9.0e+11,5e+23,0.011060614391889564
200.0,50.0,400.0,9.0e+11,5e+24,0.25486366019138146
200.0,50.0,500.0,9.0e+11,1e+24,0.020408089483275854
200.0,50.0,500.0,9.0e+11,1e+25,0.8278512264949303
200.0,50.0,500.0,9.0e+11,5e+23,0.012273977794804537
200.0,50.0,500.0,9.0e+11,5e+24,0.2393710730753709
200.0,55.0,300.0,9.0e+11,1e+24,0.03526793529685839
200.0,55.0,300.0,9.0e+11,1e+25,0.657740016991454
200.0,55.0,300.0,9.0e+11,5e+23,0.010213059434565727
200.0,55.0,300.0,9.0e+11,5e+24,0.20468786623441704
200.0,55.0,400.0,9.0e+11,1e+24,0.029746115068184323
200.0,55.0,400.0,9.0e+11,1e+25,0.8268869736315696
200.0,55.0,400.0,9.0e+11,5e+23,0.012027973821027214
200.0,55.0,400.0,9.0e+11,5e+24,0.30409249107979014
200.0,55.0,500.0,9.0e+11,1e+24,0.027514979338841457
200.0,55.0,500.0,9.0e+11,1e+25,0.9112446491902
200.0,55.0,500.0,9.0e+11,5e+23,0.014134999955807215
200.0,55.0,500.0,9.0e+11,5e+24,0.2650394033820977
200.0,60.0,300.0,9.0e+11,1e+24,0.020814445027955795
200.0,60.0,300.0,9.0e+11,1e+25,0.40988083094103717
200.0,60.0,300.0,9.0e+11,5e+23,0.010536208138713754
200.0,60.0,300.0,9.0e+11,5e+24,0.3703158899126045
200.0,60.0,400.0,9.0e+11,1e+24,0.029699166413654717
200.0,60.0,400.0,9.0e+11,1e+25,0.5064747886774307
200.0,60.0,400.0,9.0e+11,5e+23,0.011204677935265289
200.0,60.0,400.0,9.0e+11,5e+24,0.25808910343686337
200.0,60.0,500.0,9.0e+11,1e+24,0.01614042543908953
200.0,60.0,500.0,9.0e+11,1e+25,0.3393977553180702
200.0,60.0,500.0,9.0e+11,5e+23,0.011222235246845801
200.0,60.0,500.0,9.0e+11,5e+24,0.24330425077381473
220.0,10.0,300.0,9.0e+11,1e+24,0.010797072640202023
220.0,10.0,300.0,9.0e+11,1e+25,0.011289559392723598
220.0,10.0,300.0,9.0e+11,5e+23,0.007557102833617004
220.0,10.0,300.0,9.0e+11,5e+24,0.013016869799294475
220.0,10.0,400.0,9.0e+11,1e+24,0.01317427689660446
220.0,10.0,400.0,9.0e+11,1e+25,0.018575352736012574
220.0,10.0,400.0,9.0e+11,5e+23,0.012118753947459834
220.0,10.0,400.0,9.0e+11,5e+24,0.01346771858326104
220.0,10.0,500.0,9.0e+11,1e+24,0.017403405305840607
220.0,10.0,500.0,9.0e+11,1e+25,0.02006642486110534
220.0,10.0,500.0,9.0e+11,5e+23,0.013958067444619193
220.0,10.0,500.0,9.0e+11,5e+24,0.015858286908104955
220.0,11.0,300.0,9.0e+11,1e+24,0.009009354353995145
220.0,11.0,300.0,9.0e+11,1e+25,0.014378064909515518
220.0,11.0,300.0,9.0e+11,5e+23,0.008164933089448058
220.0,11.0,300.0,9.0e+11,5e+24,0.011567600397710372
220.0,11.0,400.0,9.0e+11,1e+24,0.012570932341429473
220.0,11.0,400.0,9.0e+11,1e+25,0.015685405038967367
220.0,11.0,400.0,9.0e+11,5e+23,0.010245634296284906
220.0,11.0,400.0,9.0e+11,5e+24,0.013284492357527976
220.0,11.0,500.0,9.0e+11,1e+24,0.011924087172617894
220.0,11.0,500.0,9.0e+11,1e+25,0.021609928306592446
220.0,11.0,500.0,9.0e+11,5e+23,0.013326537376763915
220.0,11.0,500.0,9.0e+11,5e+24,0.015164216405689131
220.0,12.0,300.0,9.0e+11,1e+24,0.008414824689388107
220.0,12.0,300.0,9.0e+11,1e+25,0.011157120035556618
220.0,12.0,300.0,9.0e+11,5e+23,0.00823635633165306
220.0,12.0,300.0,9.0e+11,5e+24,0.010290969786850603
220.0,12.0,400.0,9.0e+11,1e+24,0.009704693368329461
220.0,12.0,400.0,9.0e+11,1e+25,0.013658283434009644
220.0,12.0,400.0,9.0e+11,5e+23,0.00930892957163545
220.0,12.0,400.0,9.0e+11,5e+24,0.012649177719947294
220.0,12.0,500.0,9.0e+11,1e+24,0.011796466739872622
220.0,12.0,500.0,9.0e+11,1e+25,0.016031616810510237
220.0,12.0,500.0,9.0e+11,5e+23,0.014029012854956589
220.0,12.0,500.0,9.0e+11,5e+24,0.014439989496461286
220.0,13.0,300.0,9.0e+11,1e+24,0.008797252503524563
220.0,13.0,300.0,9.0e+11,1e+25,0.0135502818438654
220.0,13.0,300.0,9.0e+11,5e+23,0.007602521594043704
220.0,13.0,300.0,9.0e+11,5e+24,0.011336871534860812
220.0,13.0,400.0,9.0e+11,1e+24,0.0096766176879659
220.0,13.0,400.0,9.0e+11,1e+25,0.013332898741621683
220.0,13.0,400.0,9.0e+11,5e+23,0.011407908686460445
220.0,13.0,400.0,9.0e+11,5e+24,0.011991084675771847
220.0,13.0,500.0,9.0e+11,1e+24,0.013414597553044435
220.0,13.0,500.0,9.0e+11,1e+25,0.016937793681342614
220.0,13.0,500.0,9.0e+11,5e+23,0.011502335159864064
220.0,13.0,500.0,9.0e+11,5e+24,0.013925847687677568
220.0,14.0,300.0,9.0e+11,1e+24,0.008887576184785832
220.0,14.0,300.0,9.0e+11,1e+25,0.011607404338769962
220.0,14.0,300.0,9.0e+11,5e+23,0.0071658455072413215
220.0,14.0,300.0,9.0e+11,5e+24,0.010814271737142788
220.0,14.0,400.0,9.0e+11,1e+24,0.009061549796389724
220.0,14.0,400.0,9.0e+11,1e+25,0.013199879150048437
220.0,14.0,400.0,9.0e+11,5e+23,0.009768978578014578
220.0,14.0,400.0,9.0e+11,5e+24,0.010891840988260173
220.0,14.0,500.0,9.0e+11,1e+24,0.010048922058149124
220.0,14.0,500.0,9.0e+11,1e+25,0.014695321273748167
220.0,14.0,500.0,9.0e+11,5e+23,0.011210388475448496
220.0,14.0,500.0,9.0e+11,5e+24,0.014834289852082473
220.0,15.0,300.0,9.0e+11,1e+24,0.008237154427115796
220.0,15.0,300.0,9.0e+11,1e+25,0.011174849026840397
220.0,15.0,300.0,9.0e+11,5e+23,0.00695579757872742
220.0,15.0,300.0,9.0e+11,5e+24,0.009688728332224218
220.0,15.0,400.0,9.0e+11,1e+24,0.008097154730444797
220.0,15.0,400.0,9.0e+11,1e+25,0.010586064915710573
220.0,15.0,400.0,9.0e+11,5e+23,0.00786109311840614
220.0,15.0,400.0,9.0e+11,5e+24,0.011249604738481078
220.0,15.0,500.0,9.0e+11,1e+24,0.009617150725196689
220.0,15.0,500.0,9.0e+11,1e+25,0.014170967282268349
220.0,15.0,500.0,9.0e+11,5e+23,0.010248602598559413
220.0,15.0,500.0,9.0e+11,5e+24,0.012600169955028379
220.0,16.0,300.0,9.0e+11,1e+24,0.007918842570133916
220.0,16.0,300.0,9.0e+11,1e+25,0.009926165382606057
220.0,16.0,300.0,9.0e+11,5e+23,0.006665895391512772
220.0,16.0,300.0,9.0e+11,5e+24,0.008806036361360771
220.0,16.0,400.0,9.0e+11,1e+24,0.008815300844333641
220.0,16.0,400.0,9.0e+11,1e+25,0.011964717881298301
220.0,16.0,400.0,9.0e+11,5e+23,0.008180604544367387
220.0,16.0,400.0,9.0e+11,5e+24,0.01062797607480827
220.0,16.0,500.0,9.0e+11,1e+24,0.009859553522703159
220.0,16.0,500.0,9.0e+11,1e+25,0.012134257010281563
220.0,16.0,500.0,9.0e+11,5e+23,0.010181709772466014
220.0,16.0,500.0,9.0e+11,5e+24,0.010531790741476258
220.0,17.0,300.0,9.0e+11,1e+24,0.007303702534596684
220.0,17.0,300.0,9.0e+11,1e+25,0.009217297471910923
220.0,17.0,300.0,9.0e+11,5e+23,0.006943578426401844
220.0,17.0,300.0,9.0e+11,5e+24,0.007633610644023647
220.0,17.0,400.0,9.0e+11,1e+24,0.008767524304801605
220.0,17.0,400.0,9.0e+11,1e+25,0.010415430915794187
220.0,17.0,400.0,9.0e+11,5e+23,0.008069335465661534
220.0,17.0,400.0,9.0e+11,5e+24,0.010383597579686826
220.0,17.0,500.0,9.0e+11,1e+24,0.00931544883113924
220.0,17.0,500.0,9.0e+11,1e+25,0.011624751897882462
220.0,17.0,500.0,9.0e+11,5e+23,0.010636961940105402
220.0,17.0,500.0,9.0e+11,5e+24,0.010949237876152993
220.0,18.0,300.0,9.0e+11,1e+24,0.007120433340415122
