Wo,Vds,Temp,Nd,Mod index
0.0,0.0,0.0,0.05263157894736841,0.03766060442649716
0.0,0.0,0.0,1.0,0.04687397834451081
0.0,0.0,0.0,0.0,0.0009055807795740323
0.0,0.0,0.5,1.0,0.03746355320405306
0.0,0.0,0.0,0.4736842105263157,0.03091343119252021
0.0,0.0,0.5,0.05263157894736841,0.0031100540308846352
0.0,0.0,0.5,0.4736842105263157,0.02246098794919641
0.0,0.0,0.5,0.0,0.0032222133094779535
0.0,0.0,1.0,0.0,0.022337501803619594
0.0,0.0,1.0,0.05263157894736841,0.02980448273793127
0.0,0.02,0.0,1.0,0.055315583446921474
0.0,0.0,1.0,1.0,0.0440895573934567
0.0,0.0,1.0,0.4736842105263157,0.09097467418320658
0.0,0.02,0.0,0.05263157894736841,0.010095076900266753
0.0,0.02,0.0,0.0,0.0009660396006798656
0.0,0.02,0.0,0.4736842105263157,0.03486632650340399
0.0,0.02,0.5,1.0,0.04863279514330677
0.0,0.02,0.5,0.05263157894736841,0.0023865400951314374
0.0,0.02,0.5,0.4736842105263157,0.03144247692808435
0.0,0.02,0.5,0.0,0.0019949625503869477
0.0,0.02,1.0,1.0,0.05541482279953625
0.0,0.02,1.0,0.05263157894736841,0.009491992085999944
0.0,0.02,1.0,0.0,0.007759319688307775
0.0,0.02,1.0,0.4736842105263157,0.01767948988988228
0.0,0.04,0.0,0.05263157894736841,0.0057327998764203384
0.0,0.04,0.0,0.4736842105263157,0.0483999219823966
0.0,0.04,0.0,0.0,0.0007310801165654028
0.0,0.04,0.5,0.0,0.0013081932918983762
0.0,0.04,0.5,0.05263157894736841,0.0018035337991045702
0.0,0.04,0.5,1.0,0.06478594028055829
0.0,0.04,0.0,1.0,0.06791068656487997
0.0,0.04,0.5,0.4736842105263157,0.03685239026981776
0.0,0.04,1.0,0.05263157894736841,0.005255731159409521
0.0,0.04,1.0,0.4736842105263157,0.024182752755968533
0.0,0.04,1.0,0.0,0.005405812116609252
0.0,0.04,1.0,1.0,0.07326373835151984
0.0,0.06,0.0,1.0,0.10369746145035576
0.0,0.06,0.0,0.05263157894736841,0.0033079488223293763
0.0,0.06,0.0,0.0,0.00031897900929997615
0.0,0.06,0.0,0.4736842105263157,0.05951383381186361
0.0,0.06,0.5,0.05263157894736841,0.026954150000661772
0.0,0.06,1.0,0.0,0.0035569987062090778
0.0,0.06,1.0,0.05263157894736841,0.003939995305767719
